D01_V1_SAT.bam	D02_V1_SAT.bam	D03_V1_SAT.bam	D06_V1_SAT.bam	D07_V1_SAT.bam	D08_V1_SAT.bam	D09_V1_SAT.bam	D10_V1_SAT.bam	D101_V1_SAT.bam	D102_V1_SAT.bam	D119_V1_SAT.bam	D12_V1_SAT.bam	D128_V1_SAT.bam	D130_V1_SAT.bam	D133_V1_SAT.bam	D135_V1_SAT.bam	D139_V1_SAT.bam	D14_V1_SAT.bam	D141_V1_SAT.bam	D15_V1_SAT.bam	D162_V1_SAT.bam	D164_V1_SAT.bam	D17_V1_SAT.bam	D171_V1_SAT.bam	D177_V1_SAT.bam	D181_V1_SAT.bam	D185_V1_SAT.bam	D19_V1_SAT.bam	D191_V1_SAT.bam	D198_V1_SAT.bam	D199_V1_SAT.bam	D20_V1_SAT.bam	D201_V1_SAT.bam	D207_V1_SAT.bam	D21_V1_SAT.bam	D22_V1_SAT.bam	D25_V1_SAT.bam	D26_V1_SAT.bam	D31_V1_SAT.bam	D32_V1_SAT.bam	D33_V1_SAT.bam	D34_V1_SAT.bam	D40_V1_SAT.bam	D41_V1_SAT.bam	D42_V1_SAT.bam	D43_V1_SAT.bam	D46_V1_SAT.bam	D47_V1_SAT.bam	D48_V1_SAT.bam	D49_V1_SAT.bam	D52_V1_SAT.bam	D55_V1_SAT.bam	D57_V1_SAT.bam	D59_V1_SAT.bam	D61_V1_SAT.bam	D64_V1_SAT.bam	D68_V1_SAT.bam	D70_V1_SAT.bam	D72_V1_SAT.bam	D74_V1_SAT.bam	D75_V1_SAT.bam	D78_V1_SAT.bam	D81_V1_SAT.bam	D82_V1_SAT.bam	D87_V1_SAT.bam	D93_V1_SAT.bam	D98_V1_SAT.bam
ADAM8	3.43957992653484	4.1787985071024	4.78779606862035	4.43266789995277	5.36281164595013	4.07889806453972	3.40028375609091	4.34399144779589	3.14510519428627	4.16492113514384	3.91863754750631	4.20830200993358	2.99362913545818	2.54231224038317	3.88932183156409	3.99062245328025	4.22547454213671	4.43329706206586	3.16408300056628	5.3878201841443	2.65593910989888	2.72167984791467	3.64303925279273	3.21301541909108	2.72527970046305	2.76216335385871	2.91088382360791	3.67410411978965	2.91863502439781	2.85808355265807	3.41196383828668	3.25310005408224	3.20618060737834	3.62504593830593	3.52672884658322	3.53617347679109	4.07107645240193	3.47873072247058	3.5100522952713	2.58269279482824	4.42980497323397	4.31352239865893	3.10088443817627	3.28939931380223	3.3817414080366	2.81921128873451	2.46938923561396	3.38444582498349	4.46911167042514	3.46949502067603	2.06925582075131	3.02689399210498	3.03807726481984	2.45063784972791	3.53814949753579	3.24346210919456	1.62861337339743	4.11113424475784	3.71149008553485	2.5934919169848	3.01746093179767	2.89359635226449	3.75875688273216	4.10417262729618	3.02197400410677	3.12822971272274	3.21319161095313
ADAMTS15	8.16214788164436	7.50945176664613	7.83555848230325	7.66224965387621	6.89544711897975	7.10960645139754	7.4662194584784	8.14224107444283	7.16860688180865	7.92028480545127	6.6452744483003	7.58010329616136	6.95368331900533	5.98131765965283	8.13480467704856	8.74408931187408	7.69171088679279	7.23882701402555	7.71381219741623	7.66009433787046	6.04647205768813	7.38420112946164	7.5889677281241	7.30748557816853	7.86663563625282	6.69410077848671	6.9423134112283	7.53974748145083	7.38981871264725	6.43004098062127	7.20061714179042	7.46487691009969	7.98455883497061	7.55002746294625	7.68931642825424	7.67118471197842	7.21349612483756	6.39200476028815	7.08495095331981	7.291084143207	7.29632563245085	8.09965221790318	7.68915500483457	7.94551361585933	6.48282725261563	7.43221561498127	6.95113216723821	6.7339520601497	7.33718839974013	6.50874449203536	6.11770561771708	7.36027186845865	7.22299339425006	6.44158962240183	7.18353357533547	7.06751209660447	6.76440820996139	6.36191640657069	7.64643887802801	7.33275577768187	7.5326737088963	6.39671600134066	7.26189743887965	7.04611856756939	7.77560051288354	7.31039309127071	7.33557322648995
ADCK3	7.85381643399382	7.44696689501635	7.31483646451353	7.13410944174173	7.52739686852945	7.16304897894423	7.46160735954675	7.43509999271057	8.01955073279874	7.1513601876451	7.5092928126905	7.01090069723397	6.83144288758712	9.11500841829775	7.70768997595399	8.52797256058932	8.88454994066511	6.55688259313451	8.25467486234599	7.11910427730628	7.86589803725087	8.39980420064615	7.26635171124072	7.74384043934943	7.89387161037993	8.21073248833761	7.16844619288662	7.23577930440003	7.35864133614949	7.38586859054686	6.83841593283666	7.4576924621369	6.78194384158421	7.43126458288329	7.84582005112676	7.40915822834829	7.73644988883005	7.10704704697399	7.77789877910995	7.2661368551445	7.89196977994587	8.88159064104169	7.71093767349235	7.27868509777893	8.67975441022201	7.65174427837691	8.34925410682324	8.33792042909698	7.12385148107942	7.67760435606403	8.86379464431702	7.83715167749757	7.95460604051785	7.61929271302456	7.57171759263607	7.19441770934285	7.38171462387865	8.11621344400306	8.12502931212652	8.15181237334927	6.99144902312563	8.50411746559735	7.37126421893678	7.20865864266898	8.4752602279239	7.35140931300533	7.4426577391579
ADGRE5	6.14000264041865	6.6967043141597	6.21988668460872	6.84268000744829	7.01323005199108	6.59291308508418	5.59612591242698	7.06048915715868	6.43455923127169	6.07450313333226	5.82842041369033	6.68208977423678	6.51285292744962	5.43944057445313	6.36251511376254	6.58424548273775	6.57810855988365	6.30871436226929	6.06715243304646	6.2901770929555	5.32693824076153	5.1105816772092	5.94381999443658	5.65987843320873	5.57814600787073	5.54380564500016	5.99480498314121	5.98028625275937	6.07988915344391	6.12970204425367	5.9676822627575	6.5824070144928	6.01920732339159	6.59463768301518	6.45804139668725	5.94669133724949	6.22175612200815	6.56413666378619	6.08510033711285	5.3056895405127	6.32340385275907	7.43238928317421	6.27707641191078	5.80827148488875	5.97653654387327	5.76278613537358	5.38669775057471	5.58942325399295	6.60237817399599	5.71348268061397	5.72661462673116	5.45204563446531	5.66672048801016	5.58532564904328	5.41715522290756	5.97460920187855	4.95346971667804	6.05866955181446	6.39723608534585	5.58735919014624	5.61863517318385	6.19576131510097	5.59456313663155	5.91930870742532	6.40809729209683	5.33960403311696	5.58435525489677
ADGRG5	-0.259618707657309	0.875083248114217	1.41610169330761	0.51938587835176	1.03058612029292	1.15941768290152	0.105999655247477	0.532172154162407	-0.00919323749537272	0.62264914293268	0.289580429418521	1.07092848370866	-0.887025933924012	-0.405399727074764	0.760217382673758	0.325866673280368	0.232668678660549	1.40063509324127	-0.949186459838631	1.47115509165304	-0.324370079884466	-0.380929294171076	0.927733844031388	0.756863269031943	-0.505718267749018	0.828510153699772	0.493739775296161	0.921283219691209	-0.0989045767778232	0.300406873930037	0.00606786827374977	0.0714716816078528	1.14152767390799	0.726084324965666	-0.817635990163976	0.0505711058521042	1.06829545694211	-0.983430713459015	0.36424283213236	0.0951564006334619	1.4149214280233	1.43967921862193	0.842924572042028	0.826878528123644	0.451423729134517	0.0293222421259359	-0.127912290685679	-0.272922658293466	1.78944077683807	-0.165829402420271	0.0579914547059099	-0.474744584605195	1.0333529718087	0.221208572539552	0.681368579490319	-0.42966769715514	0.556321526240704	-0.102910576517081	-0.684903512546966	-0.296191992663264	0.384306103984299	-0.221086381147248	0.065110611522139	1.13484873798949	-0.79231262996378	0.708467584752213	-0.0881336970892156
ADH1A	1.31647933405992	0.586819007942507	1.11739444545364	-0.0842278042157044	1.13662346170963	0.903084584215692	1.34691534341112	-0.0243976831138772	1.78868011926337	0.948696431384139	1.26453828982835	0.485267726424047	1.05958809187352	2.73474164928319	0.890488003709237	1.22257742891468	0.74494362858285	0.492304220913376	1.55138459853833	0.660948045095558	1.41952957328375	1.94882354390011	1.08298936305828	0.756863269031943	0.765650887242132	1.36579044537605	1.4680449742424	0.429038773754925	1.1264443886834	2.396768303311	0.325983497445799	1.3296585358539	0.552763619498869	-1.02753842282647	0.67103109691166	0.964991801099204	-0.230781276237136	1.32263099647474	2.08112129327967	1.60271147114828	1.71798440593908	1.83150165749322	1.53990971282327	0.890544223182871	0.451423729134517	0.901388932661305	0.914871440805182	2.29434197151261	1.43245345457732	0.204872732126105	1.66498495040221	0.340262093835572	1.80363573956241	1.01855103572644	1.32059840549224	1.1765666503614	1.08350044569192	1.47087003864673	2.19279039627985	1.97408376752572	-0.26265474847801	1.54204567013619	1.21538951328859	0.137893238209803	1.82442904631573	0.791987853947223	0.676834170579635
ADH1B	9.50958614159614	9.70969723407792	10.3904020933511	8.81235146006346	9.54756108314265	9.78591323547713	9.82234137903842	8.99082961876799	10.4766820567126	9.51614467499243	10.6011584288972	9.66633388480353	10.0549021532578	11.7135878783285	9.65445967166122	9.67386738460409	10.1221556974194	10.2406918508178	10.2269288897679	9.72267931259398	10.3905087652406	10.7831233440964	9.87109216235257	10.2358692037684	9.53978246724159	10.8475414968114	10.2709442070915	9.70667102836935	9.94837585106896	10.7350064549677	8.95792961402917	10.7462682545795	9.43794278350957	9.69167680432103	10.0292289596432	10.1287796606345	9.69891497615852	9.94362529486459	10.5126919437805	10.8890898684436	10.6177382597682	10.6975769315972	9.87908161596326	9.8631740031938	10.7351137476794	10.6084104103854	10.6027186792895	10.8641210668978	9.67492040894319	10.517652570342	11.8043694385627	9.89843945305306	10.5023878552696	10.1539416369656	10.4347760561739	10.1982930449895	10.82421122707	10.5105617158754	10.3774194376846	10.8104115226973	8.65661524169562	9.7215995662791	10.4302341064052	9.70078505315419	10.0108530366626	9.60639848866996	9.91531962189937
ADH1C	3.05032945489156	3.23131936455081	2.99859703653202	3.37772947179844	3.54877246699139	3.17330423971499	3.01342384467105	3.51069517153387	3.98903782376847	3.20447216745241	4.30102948736293	2.79071842458954	3.27133144557711	4.08432088513157	3.30109979704884	3.50276689795898	3.21562024047732	3.67992524056516	3.98714642325115	3.14360922157555	3.3653306387118	4.73869486916265	3.65546535289962	3.01672460232447	3.14894920681268	3.98176380385564	3.05718431493786	3.08122917251416	3.14813471319683	3.12195433892972	3.35451690725199	3.62782855984115	3.39543731953423	2.39251415151604	1.92583138375511	3.51592129847802	2.84583937787074	2.54274247952638	3.72497370948112	4.52886350322332	3.14359696335963	4.13637642301541	3.01311301337788	3.08687501721901	3.64537153443277	2.81921128873451	4.2441503374953	3.89461576802277	2.48640095871281	3.74008830413829	3.89975894674302	3.80139563333241	3.39463634509502	3.46265725794666	3.80129992345699	3.79022419474018	3.47148076712483	2.69005165216061	3.75050282593056	3.34448214113058	3.51085645090075	2.86676211350181	3.9651320974738	2.73614364827745	3.6974818295696	4.16958541122315	3.32790811867506
ADM2	0.115830608871987	1.58339989341611	0.588899722807986	0.653849623969092	-0.328400090849178	0.80641139793015	-1.80550164845484	-0.0243976831138772	-0.190270473640954	0.948696431384139	-1.1993463804745	-0.710073797009414	-0.540069009797353	-0.405399727074764	1.12029726721519	1.86943550480479	0.104103106213114	-0.839940031570576	0.634214440010208	1.41366789176461	-1.74520844625841	-1.77521888349603	-1.36090767132354	1.13445066850553	-0.146443281116394	-0.80121929217237	-0.456204061829374	0.730463548520144	-0.185379979270627	-1.4280566954406	1.05972329594147	-1.10243261314511	0.802493117642664	0.726084324965666	0.0571019576236541	0.655095760885953	-0.0508981130751945	1.66282798812824	-0.453628842023934	0.0951564006334619	0.227127306638112	0.335160380090256	0.759072714638713	0.371448250539715	0.451423729134517	-1.84105222233407	-0.541908731344653	0.238825528514907	-1.73939924981889	-0.523796013387669	-1.03277121982037	0.340262093835572	-0.640264629298296	-1.19142361397153	-0.170668282439283	0.0385039835435395	-0.283038232851908	-1.82889328958978	-0.319071352362773	-0.663831066906231	0.750670995634116	-0.00743075348439124	0.154863365969294	-1.23091893534382	0.604629632709407	0.0700062327487724	0.574324118870981
ADRBK2	7.69578429565055	6.39173711497427	7.4985901630505	7.15055283727618	6.93823195508051	6.94054044075503	7.69248328955243	6.38952634228854	7.69215124690405	7.50197035515661	7.82511857629448	6.97919133212706	6.7141298364999	8.10308303725371	7.23713458831703	6.67176744437361	7.26538098313576	6.97715372513509	7.15874478118788	6.72326998170505	7.89613654581091	8.18074911574536	7.70857493429054	7.70008513515284	7.70711734531283	7.67178817012692	7.53406722534541	7.74723168726764	7.68121983731063	7.43025201485991	7.07375818224217	6.85816239973098	7.53559163231266	6.85407856685146	7.31737958561202	7.27750896757736	6.7551079954984	7.2335866604171	6.91557300452049	7.86225829330444	7.31451746787721	7.26554552316117	7.34181924484729	7.68043225291933	7.76826938308429	7.24847076168428	8.17844624170028	7.94098302798536	6.99408316752829	7.05786925297599	7.80830790705218	7.77156606017917	7.75008992210843	7.16415451031994	7.74405588674842	7.56199924848158	7.55510599971033	7.07080535888653	7.6170541324358	7.70243282647215	7.76627477704001	7.85894732628959	7.3182241051816	6.89800053686489	7.32411504185311	7.32711478563524	7.6199817347987
ADSSL1	3.39487375515584	2.38928699648229	2.11511856630376	3.22407792905951	4.34141391795657	2.01853979023538	4.53609473940149	2.60284717997982	3.16409385756373	1.83062499258044	2.63353091815003	1.97847048067586	2.52596738618836	4.701708057566	2.81878190691516	3.53299953780599	3.88748139327658	2.14186331824602	4.03343766095383	1.63103082862497	3.55384442683574	3.60726753102342	3.68000100776027	2.43218001008751	2.58865783245496	3.72188913468662	3.48870179489275	3.08122917251416	3.63182192419514	3.64869147446643	1.99850660301694	2.74552645966377	1.55846220015595	2.94179959315858	2.86160713722945	2.81128226031571	3.40382642315626	2.77076090054989	2.5996770379148	2.39905743740118	3.9076638003442	4.67622443069435	2.97645260591654	2.64515733969357	4.26904790650267	4.01494176101828	3.96717492681891	3.34924618545502	3.00060245259723	3.59951691365666	3.66869254210246	3.25869240961721	2.88640727482264	3.18678151471519	3.00732534831511	1.50060478077636	4.04419533778907	4.25715929056432	3.46404953685561	3.70012335148969	2.74036087684888	3.91648051665377	3.63165014519558	2.36339660790512	3.82639817713008	3.40518148848501	2.15363677928393
