Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	Row.names	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
RASSF5	0.61111624285577	0.0158691061437891	0.263037466794873	0.95441058294808	0.000191745736215809	0.014057048817189	0.34329434009231	0.127571615762461	0.923598043043093	RASSF5	0.250673794387251	0.113256395517366	0.852623823419846	0.599095470637377	0.000508144320191346	0.0346480590152385	0.348421676250126	0.0317220278267809	0.997759514906541
RBM38	0.165712614611327	0.364799009475829	0.757757912059443	0.421503798286147	0.0170964180875004	0.146943841685218	0.25579118367482	0.138047114815015	0.9251258449399	RBM38	0.259811229708716	0.156203644166781	0.89735792167864	0.656808117783063	0.00098254841136832	0.0482363508022441	0.396996888074346	0.0349911093760656	0.999858517549214
RELB	-0.0983157387993895	0.64379252227011	0.889410981899424	0.532535505748491	0.0117673452102752	0.118771476742856	0.63085124454788	0.00378782615377238	0.672945539147503	RELB	0.164587128220475	0.286766176738256	0.966635814669535	0.558934320523473	0.000906259557417667	0.0461447715820458	0.394347192302999	0.0138071413128542	0.91391095918825
RELL2	0.279508460955182	0.380193343150583	0.7656355838653	0.295767280429152	0.309361500857392	0.656639045249212	0.0162588194739697	0.956562644572833	0.997287689854384	RELL2	0.386583938417492	0.0361440468082058	0.614794258552481	0.640657938738973	0.00112443090545905	0.0508358147566098	0.254074000321481	0.167734296047349	0.999858517549214
RELT	0.385580256868207	0.202866411360923	0.641668626450854	0.937661792325363	0.00175271388525955	0.0428156771984455	0.552081535457156	0.0502025682992641	0.888192877389982	RELT	0.337355077191552	0.153691009560806	0.894384590815215	0.777467048383511	0.00226579852044073	0.0734810331105118	0.440111971191958	0.067319679208803	0.999858517549214
RET	0.0513854145663431	0.877760703073144	0.966891020027275	0.714921484224467	0.0297207706099636	0.199961570784771	0.663536069658124	0.0467872277545035	0.888192877389982	RET	0.0495552926759341	0.805068474530476	0.997365210116601	0.617622860575935	0.00432883005802527	0.0997241966603652	0.568067567900001	0.00664619855571412	0.792868320777732
RGS22	-0.204439022558274	0.480921201084389	0.818807557298646	-0.27771780221158	0.29837994468232	0.647384763015144	-0.073278779653306	0.781779185491233	0.985628267101122	RGS22	-0.429927226956201	0.00953873748625888	0.420643156637944	-0.672605067959314	0.000217296564815017	0.0222452748476466	-0.242677841003112	0.15495879625088	0.999858517549214
RHOBTB3	-0.235485100551535	0.471267364599342	0.814156931949667	-0.698969844106605	0.0283081963047289	0.194433334716315	-0.46348474355507	0.109571714077223	0.923598043043093	RHOBTB3	-0.0881726381265235	0.517947384076186	0.988245312633705	-0.65683823782543	2.28546224165887e-05	0.00663197911177441	-0.568665599698906	0.000136891467253248	0.324820636547416
RIN3	0.195580508747701	0.418070724185187	0.78834389685166	0.28252708099548	0.209027375354035	0.55299524999926	0.0869465722477795	0.701300235698518	0.982916705263203	RIN3	0.260938059299533	0.0734522325270074	0.756717465301543	0.460089859140877	0.00329089643957098	0.088109889721803	0.199151799841344	0.178506054111895	0.999858517549214
RLTPR	1.08594814677497	0.000895912486904603	0.0778224471352607	1.00165714278648	0.00116414327809442	0.0350658625450886	-0.0842910039884923	0.755552737693983	0.984299067914168	RLTPR	0.822793495468612	0.000177585879779863	0.109925659583735	0.916748136739635	6.84764768632803e-05	0.010713182429698	0.0939546412710229	0.649705844887333	0.999858517549214
