Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
MAOB	-0.527215000087457	0.00731663622514023	0.189950616421118	-0.926980147516468	1.06331849718899e-05	0.00349881242249465	-0.39976514742901	0.023504598661879	0.873781996094419	-0.158376990713264	0.241834914678478	0.95139203049056	-0.369516389658698	0.0115442470406521	0.157953337216047	-0.211139398945434	0.131470345963095	0.999858517549214
MAP1B	0.444651029198821	0.040451425840049	0.380803209721127	0.647953194245344	0.00276341743661876	0.0544562580929233	0.203302165046524	0.2959614366316	0.963195811776739	0.20946729585734	0.0958816481664741	0.818192915023707	0.247158541154695	0.0629448902591159	0.373666511952072	0.0376912452973551	0.767577333815398	0.999858517549214
MAP3K14	0.0788427610793719	0.631897946769338	0.885796872982115	0.553982121013051	0.00113812673187433	0.0346308712457847	0.475139359933679	0.00505733074822884	0.701858375119008	0.145768907611797	0.154484325847479	0.8953526239802	0.412941793121964	0.000238226139163681	0.0230722826073015	0.267172885510167	0.011804704689621	0.889225294529811
MAP7D2	0.388733940912086	0.212339768570933	0.648370378503576	0.845158975759592	0.00464988802531592	0.0710488830131694	0.456425034847507	0.098220607447697	0.921974867381084	0.377018656818916	0.0290181212790071	0.583518351199468	0.400923216500411	0.0263816280330392	0.244528149939049	0.023904559681495	0.888715902551101	0.999858517549214
MARC1	-0.731109035493131	0.00196399602350594	0.108974822496414	-0.944769871684228	5.9913624947486e-05	0.00823027067361145	-0.213660836191097	0.275711914484247	0.962939555184773	-0.374046173883621	0.0120826751359892	0.453881387628177	-0.472780753099971	0.00311149597383578	0.0855033447032568	-0.0987345792163502	0.510920500965523	0.999858517549214
MARC2	-0.398783633870716	0.016140256693449	0.264122259551895	-0.53807388575529	0.000855646074721813	0.0292323866138285	-0.139290251884574	0.338126784204629	0.963195811776739	-0.255002320432309	0.0270142703922801	0.583493892888878	-0.322106407428489	0.00892110942285603	0.138960432005691	-0.0671040869961801	0.565936530574823	0.999858517549214
MATK	2.79259689615249	5.34712544342503e-07	0.00266080476195586	2.42363080542838	1.04079512702311e-06	0.00140128544394233	-0.368966090724107	0.33362519857244	0.963195811776739	0.815401576189918	0.015117424266291	0.47153486808676	0.845426515945927	0.0158438695500272	0.188548065807926	0.0300249397560093	0.92773226587332	0.999858517549214
MAVS	-0.480916865116196	0.000954182115755593	0.0778224471352607	-0.478287323895396	0.000447769942291535	0.021009881637531	0.00262954122079989	0.982501245145459	0.99882122696843	-0.222826627118956	0.0131998879615936	0.459608109501036	-0.196300307004283	0.0380418133329766	0.293550838168882	0.0265263201146737	0.769082652832578	0.999858517549214
MCF2L	-0.492111494550425	0.0162570890018815	0.265057041511547	-0.699611299804248	0.00060074852573383	0.0236768548484901	-0.207499805253823	0.260068145711816	0.962097599917881	-0.324505111386116	0.0209852519881587	0.527856947977765	-0.312962533662211	0.0352821783031549	0.284559072775201	0.0115425777239049	0.935101326672903	0.999858517549214
MCOLN2	0.771507984554211	0.0462336430870507	0.397423946560559	1.1089166950965	0.00267935408869274	0.0540031068389082	0.33740871054229	0.333047824589913	0.963195811776739	0.335462319517684	0.137682635166367	0.882411181305085	0.676673762000773	0.00462851696559679	0.102895135049893	0.34121144248309	0.130723587359913	0.999858517549214
MCTP2	1.46572048534285	0.00147762834198538	0.0937501921695483	1.1324692812604	0.00662597053572167	0.0872100996371404	-0.333251204082456	0.356550648918446	0.963195811776739	0.425036935667964	0.103552771189877	0.83011306499453	0.570421653928624	0.0377267350080955	0.292645601349295	0.14538471826066	0.578655227257173	0.999858517549214
MED16	0.447869431626159	0.0477293320164633	0.404354275837999	0.62355734378123	0.00421305288536628	0.0672797921837554	0.175687912155071	0.390610814513375	0.963195811776739	0.170958765649811	0.178853411849479	0.915948210252172	0.380750799601967	0.00544365977198191	0.10978642672976	0.209792033952156	0.107504943721287	0.999858517549214
MEDAG	0.372480213710604	0.118712439395392	0.542526584304072	1.05615490221709	4.2997292829941e-05	0.0072424844791766	0.683674688506483	0.00435164718438856	0.687394196037911	0.154628242398873	0.323829048529765	0.971785137020614	0.616196169544186	0.000354419892861061	0.0289772439174003	0.461567927145313	0.00486299141311593	0.760817678555291
MEFV	0.894160222708284	0.0237965367117054	0.316742425149501	1.13906088866899	0.00234753414878768	0.0507182323238597	0.244900665960708	0.458751374761358	0.966499852072356	0.506136072121278	0.0834240051312938	0.784685062908728	0.904481160857989	0.00367989954174432	0.0924168946133215	0.398345088736711	0.172718597652554	0.999858517549214
MEGF6	0.210288092205207	0.335897473214194	0.739702625150416	0.596878365147885	0.00622519853707562	0.0846112719510883	0.386590272942678	0.0782761790335785	0.917330765779016	0.212656760839879	0.0779783280333845	0.764613558603097	0.480658556270406	0.000269252137573196	0.0241090734756578	0.268001795430527	0.030445677016539	0.997759514906541
MEI1	0.825431005572302	0.0608679577989449	0.439636981382954	1.1027999070449	0.00594941023782597	0.0818058362050531	0.277368901472594	0.46445640622824	0.966499852072356	0.488621785912998	0.0418458584159373	0.643940596126431	0.494096282478284	0.0491784786371104	0.329484235461901	0.0054744965652859	0.981741308515645	0.999858517549214
MELK	1.15438607820778	0.00869551047213724	0.207475173137048	1.21488873086052	0.00234610835020627	0.0507182323238597	0.0605026526527402	0.865906685128276	0.990050294004617	0.351949160072136	0.121487256808277	0.861481195417221	0.406334160675679	0.0857627065518538	0.430679758810864	0.0543850006035433	0.810068780334435	0.999858517549214
MESP1	-0.729929402109555	0.00892201351291962	0.209373343538226	-0.826621351409039	0.00196252822841174	0.0455957502525413	-0.0966919492994842	0.693631926725757	0.982916705263203	-0.14577625344538	0.425581913316172	0.988245312633705	-0.37989624088736	0.0531727398381137	0.342388194063874	-0.23411998744198	0.216752365806401	0.999858517549214
METTL2A	-0.428452118620898	0.00892304234599974	0.209373343538226	-0.525175532262602	0.000989016227732935	0.0319488370004413	-0.0967234136417046	0.498493670563347	0.968458057990318	-0.122775661947053	0.250197483118153	0.954951898041974	-0.109897550244842	0.329586087589857	0.757041473996197	0.0128781117022108	0.906290522014235	0.999858517549214
MFAP2	0.359893898393333	0.227413808835248	0.659256993796406	0.828009810875421	0.00394666613642952	0.0655415248407761	0.468115912482088	0.0983650166091457	0.921974867381084	0.268553713604979	0.147754204292733	0.890803962341455	0.666519894803937	0.000854374053798779	0.0444056341197103	0.397966181198958	0.0349340482464712	0.999858517549214
MFSD1	0.54931045014004	0.0138069918227358	0.2510991353469	0.615945476498295	0.00320514504204193	0.0582899706938963	0.0666350263582547	0.728741477510372	0.98311267769293	0.157615178871909	0.150775672603135	0.894384590815215	0.232367514090033	0.0459649494974509	0.320635279654223	0.0747523352181239	0.50310985532183	0.999858517549214
MFSD12	0.728250399778397	0.014601934989677	0.2592255685934	0.758507008168963	0.0065508167048536	0.0866859562764231	0.0302566083905659	0.910137007032508	0.992748041936285	0.328143694489813	0.118592377898423	0.859673973594629	0.378347306513204	0.0877041919182796	0.43296049410482	0.0502036120233908	0.813607663407427	0.999858517549214
